Sex,,,,
Year / Moving 3-month period,Age group,Median monthly employment earnings of employed male,Median monthly employment earnings of employed female,Median monthly employment earnings of employed both sexes
3/2024 - 5/2024,15 - 24,15800,14600,15000
3/2024 - 5/2024,25 - 34,24000,20000,21500
3/2024 - 5/2024,35 - 44,28700,17500,22000
3/2024 - 5/2024,45 - 54,27000,17000,21000
3/2024 - 5/2024,55 - 59,23000,16000,20000
3/2024 - 5/2024,60 and over,17700,13000,15000
3/2024 - 5/2024,15 and over,24000,17000,20000
4/2024 - 6/2024,15 - 24,15300,14500,15000
4/2024 - 6/2024,25 - 34,24000,20000,21900
4/2024 - 6/2024,35 - 44,28000,17000,22000
4/2024 - 6/2024,45 - 54,27900,17000,21000
4/2024 - 6/2024,55 - 59,22900,16000,20000
4/2024 - 6/2024,60 and over,17500,13000,15000
4/2024 - 6/2024,15 and over,23800,17000,20000
5/2024 - 7/2024,15 - 24,15000,15000,15000
5/2024 - 7/2024,25 - 34,24700,20000,22000
5/2024 - 7/2024,35 - 44,28100,16700,22000
5/2024 - 7/2024,45 - 54,28000,17300,21000
5/2024 - 7/2024,55 - 59,23000,16000,20000
5/2024 - 7/2024,60 and over,18000,13000,15100
5/2024 - 7/2024,15 and over,24000,17000,20000
6/2024 - 8/2024,15 - 24,15000,14000,15000
6/2024 - 8/2024,25 - 34,24600,20000,22000
6/2024 - 8/2024,35 - 44,29000,17500,22200
6/2024 - 8/2024,45 - 54,28000,17300,21200
6/2024 - 8/2024,55 - 59,23000,16000,20000
6/2024 - 8/2024,60 and over,18000,12600,15200
6/2024 - 8/2024,15 and over,24000,17000,20000
7/2024 - 9/2024,15 - 24,15000,15000,15000
7/2024 - 9/2024,25 - 34,24500,20000,22000
7/2024 - 9/2024,35 - 44,30000,17900,23000
7/2024 - 9/2024,45 - 54,28100,17100,21500
7/2024 - 9/2024,55 - 59,22900,16000,20000
7/2024 - 9/2024,60 and over,18000,13000,15500
7/2024 - 9/2024,15 and over,24400,17000,20000
8/2024 - 10/2024,15 - 24,16000,14500,15000
8/2024 - 10/2024,25 - 34,24500,20000,22000
8/2024 - 10/2024,35 - 44,30000,17600,22900
8/2024 - 10/2024,45 - 54,28400,17000,21000
8/2024 - 10/2024,55 - 59,22700,16000,20000
8/2024 - 10/2024,60 and over,18000,13000,15500
8/2024 - 10/2024,15 and over,24300,17000,20000
9/2024 - 11/2024,15 - 24,16000,15000,15200
9/2024 - 11/2024,25 - 34,24500,20000,22000
9/2024 - 11/2024,35 - 44,30000,18000,23000
9/2024 - 11/2024,45 - 54,28400,17000,21000
9/2024 - 11/2024,55 - 59,23000,16200,20000
9/2024 - 11/2024,60 and over,18000,13000,15500
9/2024 - 11/2024,15 and over,24400,17000,20000
10/2024 - 12/2024,15 - 24,16000,15000,15200
10/2024 - 12/2024,25 - 34,24500,20000,22000
10/2024 - 12/2024,35 - 44,30000,18000,23000
10/2024 - 12/2024,45 - 54,28000,17000,21000
10/2024 - 12/2024,55 - 59,23000,16500,20000
10/2024 - 12/2024,60 and over,18000,13000,15600
10/2024 - 12/2024,15 and over,24300,17000,20000
 ,,,,
Note(s):,,,,
"Median monthly employment earnings are rounded to the nearest hundred.Starting from 2001, annual figures are compiled based on the survey results of the General Household Survey from January to December of the year concerned as well as the mid-year population estimates and may be regarded as referring to the overall situation of the whole year.",,,,
"1 Monthly employment earnings refer to earnings (before deduction of Mandatory Provident Fund contributions) from all jobs during the month before enumeration. For employees, they include wage and salary, bonus, commission, tips, housing allowance, overtime allowance, attendance allowance and other cash allowances. However, back pays are excluded. For employers and self-employed, they refer to amounts drawn from the self-owned enterprise for personal and household use. If information on the amounts drawn for personal and household use is not available, data on net earnings from business would be collected instead.",,,,
2 Employed persons refer to those persons aged 15 and over who have been engaged in performing work for pay or profit during the 7 days before enumeration or who have had formal job attachment. Unpaid family workers and employed persons who were on leave/holiday during the 7 days before enumeration are included.,,,,
 ,,,,
Source:,,,,
"General Household Survey Section (3),Census and Statistics Department(Enquiry telephone no. : 2887 5508 Enquiry e-mail : ghs@censtatd.gov.hk)",,,,
 ,,,,
"Release Date: 18 February, 2025",,,,
